Date,Name,Group,UFC_cover,MADC_cover
10.15.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.15.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.15.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.15.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.16.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.16.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.16.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.16.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.16.2020,IMBALABOUL,Sainfoin,108.8,250
10.16.2020,IRITABELLA,Sainfoin,108.8,249.9
10.16.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.16.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.16.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.16.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.17.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.17.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.17.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.17.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.17.2020,IMBALABOUL,Sainfoin,108.8,250
10.17.2020,IRITABELLA,Sainfoin,108.8,249.9
10.17.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.17.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.17.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.17.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.18.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.18.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.18.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.18.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.18.2020,IMBALABOUL,Sainfoin,108.8,250
10.18.2020,IRITABELLA,Sainfoin,108.8,249.9
10.18.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.18.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.18.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.18.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.19.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.19.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.19.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.19.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.19.2020,IMBALABOUL,Sainfoin,108.8,250
10.19.2020,IRITABELLA,Sainfoin,108.8,249.9
10.19.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.19.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.19.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.19.2020,INECHAIBOUL,Sainfoin,109.1,250.2
9.28.2020,ILSOURIBOUL,Alfalfa,103.3,253.5
